seconds,perf_rapl,energy_ram,retired_instructions,ipmi,rapl_uj,rapl_uj_diff,minute,second,rapl_pw,load_avg_1minute,cpu_pct,cpu_pct_process,x_rest
2752,92.69,36.84,43254064778.0,240.0,285850276480.0,121158160.0,2.7861618833333335,167.0,136.254736,9.01,49.0,4.3,147.31
2753,82.41,35.47,35766731581.0,228.0,285971434640.0,127489040.0,2.802834666666667,168.0,121.15816,9.01,27.0,4.3,145.59
2754,86.79,36.61,37256923231.0,238.0,286098923680.0,122197948.0,2.819509066666667,169.0,127.48904,9.01,27.0,4.3,151.20999999999998
2755,83.09,35.25,38898040762.0,235.0,286221121628.0,137557576.0,2.836177183333333,170.0,122.197948,9.49,26.0,4.3,151.91
2756,93.56,37.16,47585910587.0,236.0,286358679204.0,146798532.0,2.852855583333333,171.0,137.557576,9.49,26.0,4.3,142.44
2757,99.87,37.21,57247627977.0,242.0,286505477736.0,174962112.0,2.8695299666666667,172.0,146.798532,9.49,36.0,4.3,142.13
2758,118.99,39.25,78738919202.0,257.0,286680439848.0,190561512.0,2.88620755,173.0,174.962112,9.49,36.0,4.3,138.01
2759,129.63,39.12,94318147068.0,274.0,286871001360.0,194875656.0,2.9028863666666664,174.0,190.561512,9.49,60.0,4.3,144.37
2760,132.5,39.54,94544002091.0,276.0,287065877016.0,193486661.0,2.919565083333333,175.0,194.875656,9.49,60.0,4.3,143.5
2761,131.38,39.85,89006189084.0,271.0,287259363677.0,147422743.0,2.9362498500000003,176.0,193.486661,10.01,65.0,4.3,139.62
2762,100.22,35.28,56222389994.0,272.0,287406786420.0,134773149.0,2.9529307333333334,177.0,147.422743,10.01,65.0,4.3,171.78
2763,91.62,35.82,43295572564.0,255.0,287541559569.0,136656891.0,2.9696172499999998,178.0,134.773149,10.01,30.0,4.3,163.38
2764,93.0,36.07,47796973524.0,240.0,287678216460.0,122853471.0,2.98628825,179.0,136.656891,10.01,30.0,4.3,147.0
2765,83.64,34.38,38495468303.0,237.0,287801069931.0,142068756.0,3.0029619666666667,180.0,122.853471,9.93,26.0,4.3,153.36
2766,96.78,36.31,50865076049.0,240.0,287943138687.0,149391721.0,3.0196308000000003,181.0,142.068756,9.93,26.0,4.3,143.22
2767,101.55,35.49,56077287853.0,245.0,288092530408.0,144754295.0,3.03631635,182.0,149.391721,9.93,32.0,4.3,143.45
2768,98.47,36.06,47351369095.0,253.0,288237284703.0,158739609.0,3.0529896166666664,183.0,144.754295,9.93,32.0,4.3,154.53
2769,108.18,37.87,56120328733.0,244.0,288396024312.0,157109202.0,3.0696577666666665,184.0,158.739609,9.93,35.0,4.3,135.82
2770,106.67,37.93,55801478680.0,252.0,288553133514.0,137568558.0,3.0863367166666666,185.0,157.109202,9.93,35.0,4.3,145.32999999999998
2771,93.49,36.22,47920572017.0,243.0,288690702072.0,157706640.0,3.1030244000000002,186.0,137.568558,10.1,36.0,4.3,149.51
2772,107.38,40.01,54275332340.0,232.0,288848408712.0,157016937.0,3.11969,187.0,157.70664,10.1,36.0,4.3,124.62
2773,106.85,39.69,52911721578.0,257.0,289005425649.0,158974647.0,3.136374883333333,188.0,157.016937,10.1,49.0,4.3,150.15
2774,107.73,39.98,48385931505.0,269.0,289164400296.0,141642360.0,3.15305365,189.0,158.974647,10.1,49.0,4.4,161.26999999999998
2775,96.58,37.77,42470593677.0,261.0,289306042656.0,149350881.0,3.1697329333333335,190.0,141.64236,10.17,46.0,4.4,164.42000000000002
2776,101.43,37.34,49007198153.0,249.0,289455393537.0,134869753.0,3.1864201166666666,191.0,149.350881,10.17,46.0,4.4,147.57
2777,91.67,33.53,47791863620.0,252.0,289590263290.0,114792854.0,3.203093866666667,192.0,134.869753,10.17,30.0,4.4,160.32999999999998
2778,77.8,32.93,32954892430.0,232.0,289705056144.0,91813200.0,3.2197691833333333,193.0,114.792854,10.17,30.0,4.4,154.2
2779,62.2,32.74,14811313064.0,215.0,289796869344.0,94802376.0,3.2364444000000003,194.0,91.8132,10.17,12.0,4.4,152.8
2780,64.84,33.87,13392660161.0,203.0,289891671720.0,99381360.0,3.2531198333333333,195.0,94.802376,10.17,12.0,4.4,138.16
2781,67.41,35.29,14556208363.0,209.0,289991053080.0,110864727.0,3.269790983333333,196.0,99.38136,9.68,11.0,4.4,141.59
2782,75.88,35.15,26107521919.0,214.0,290101917807.0,109103469.0,3.2864632166666667,197.0,110.864727,9.68,11.0,4.4,138.12
2783,74.1,34.67,25152708951.0,222.0,290211021276.0,112996034.0,3.3031315,198.0,109.103469,9.68,16.0,4.4,147.9
2784,76.9,34.48,28948599199.0,225.0,290324017310.0,112284874.0,3.319820733333333,199.0,112.996034,9.68,16.0,4.4,148.1
2785,76.43,34.82,29099008721.0,224.0,290436302184.0,106897291.0,3.336496,200.0,112.284874,9.38,18.0,4.4,147.57
2786,72.7,34.87,24037373853.0,225.0,290543199475.0,126499191.0,3.3531683333333335,201.0,106.897291,9.38,18.0,4.4,152.3
2787,86.69,36.09,39695017502.0,226.0,290669698666.0,149053442.0,3.369838166666667,202.0,126.499191,9.38,20.0,4.4,139.31
