timestamp,sensor,target,socket,cpu,RAPL_ENERGY_PKG,time_enabled,time_running
1692823208486,sensor,all,0,21,385118633984,146434058592,146434058592
1692823208486,sensor,all,1,38,263771127808,146434053876,146434053876
1692823209490,sensor,all,0,21,314062929920,147438361285,147438361285
1692823209490,sensor,all,1,38,258382757888,147438361613,147438361613
1692823210494,sensor,all,0,21,270612824064,148441956921,148441956921
1692823210494,sensor,all,1,38,245932752896,148441953767,148441953767
1692823211498,sensor,all,0,21,270299824128,149445702708,149445702708
1692823211498,sensor,all,1,38,270912978944,149445699409,149445699409
1692823212501,sensor,all,0,21,277839347712,150449022965,150449022965
1692823212501,sensor,all,1,38,246102884352,150449020259,150449020259
1692823213505,sensor,all,0,21,378910015488,151454222906,151454222906
1692823213505,sensor,all,1,38,270574813184,151454219749,151454219749
1692823214510,sensor,all,0,21,382065704960,152458944815,152458944815
1692823214510,sensor,all,1,38,279047045120,152458946852,152458946852
1692823215514,sensor,all,0,21,392864464896,153462322216,153462322216
1692823215514,sensor,all,1,38,268033327104,153462325327,153462325327
1692823216517,sensor,all,0,21,412131000320,154464782318,154464782318
1692823216517,sensor,all,1,38,281605046272,154464777561,154464777561
1692823217521,sensor,all,0,21,475510079488,155469058087,155469058087
1692823217521,sensor,all,1,38,278892118016,155469056105,155469056105
1692823218525,sensor,all,0,21,364579127296,156473993380,156473993380
1692823218525,sensor,all,1,38,286682513408,156473988636,156473988636
1692823219530,sensor,all,0,21,387459842048,157478209616,157478209616
1692823219530,sensor,all,1,38,290620178432,157478205325,157478205325
1692823220534,sensor,all,0,21,330831495168,158482640411,158482640411
1692823220534,sensor,all,1,38,267325276160,158482637289,158482637289
1692823221538,sensor,all,0,21,290199961600,159485446835,159485446835
1692823221538,sensor,all,1,38,258863267840,159485448975,159485448975
1692823222542,sensor,all,0,21,325451513856,160489146462,160489146462
1692823222542,sensor,all,1,38,273109745664,160489150296,160489150296
1692823223545,sensor,all,0,21,343736582144,161493909385,161493909385
1692823223545,sensor,all,1,38,290401812480,161493910502,161493910502
1692823224549,sensor,all,0,21,349906927616,162496855722,162496855722
1692823224549,sensor,all,1,38,257467613184,162496858836,162496858836
1692823225553,sensor,all,0,21,430961590272,163500308144,163500308144
