seconds,perf_rapl,energy_ram,retired_instructions,igpm,voltage,current,power_factor,discard,rapl_uj,rapl_uj_diff,minute,second,rapl_pw,load_avg_1minute,cpu_pct,cpu_pct_process,x_rest
65252,34.76,,,55.544781969255666,121.68,0.59291,0.9766,0.0,163921980420.0,25534692.0,2.4366868999999998,146.0,35.135652,2.47,27.0,2.0,20.78478196925567
65253,40.44,,,53.43348285081829,121.71,0.55756,0.973,0.0,163947515112.0,27927288.0,2.45336725,147.0,25.534692,2.43,15.0,2.0,12.993482850818289
65254,51.95,,,70.56626143248147,121.64,0.67711,0.9743,0.0,163975442400.0,38187804.0,2.4700397499999998,148.0,27.927288,2.43,15.0,2.0,18.616261432481465
65255,37.77,,,65.8089693699388,121.78,0.50949,0.9718,0.0,164013630204.0,28231296.0,2.4867117333333337,149.0,38.187804,2.43,34.0,2.0,28.03896936993879
65256,42.4,,,48.4279133457223,121.94,0.42512,0.7322,0.0,164041861500.0,31074492.0,2.5033842333333336,150.0,28.231296,2.43,34.0,2.0,6.027913345722304
65257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65258,51.88,,,68.56106238203334,121.7,0.66505,0.9762,0.0,164104952088.0,38678472.0,2.5367333833333334,152.0,32.016096,2.43,28.0,2.0,16.68106238203334
65259,48.92,,,70.0374460779262,121.66,0.63661,0.9769,0.0,164143630560.0,35784708.0,2.5534079166666666,153.0,38.678472,2.88,45.0,2.0,21.117446077926203
65260,44.16,,,75.14638400331009,121.77,0.5558,0.9427,0.0,164179415268.0,33277494.0,2.57007955,154.0,35.784708,2.88,45.0,2.0,30.986384003310093
65261,32.01,,,68.62973189919475,121.68,0.63603,0.9778,0.0,164212692762.0,24141078.0,2.5867543333333334,155.0,33.277494,2.88,25.0,2.0,36.619731899194754
65262,23.97,,,61.901223328996664,121.94,0.40321,0.9635,0.0,164236833840.0,19477248.0,2.6034276333333333,156.0,24.141078,2.88,25.0,2.0,37.931223328996666
65263,30.46,,,41.2236643212921,122.13,0.27945,0.6696,0.0,164256311088.0,19523100.0,2.620097933333333,157.0,19.477248,2.73,11.0,2.0,10.763664321292097
65264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65265,47.06,,,55.10774633573149,121.73,0.61738,0.9772,0.0,164297545536.0,34746984.0,2.65344955,159.0,21.711348,2.73,21.0,2.0,8.047746335731489
